Stand	Plot	TreeID	x_DBH_local_TLS	y_DBH_local_TLS	dbh_TLS	h_TLS	cra_TLS	dbh_field	h_field
315	315_4	927	1.478467	3.245075	22.47818163	23.43743	18.167	22	24.5
315	315_4	926	-0.717604	1.989818	27.08687926	25.92284	13.6	27.9	26
315	315_4	925	-5.504663	0.966277	28.25481754	22.52487	11.491	29.05	24.1
315	315_4	928	6.532921	4.392045	32.79458294	24.15184	18.797	33.55	25.4
315	315_4	930	0.173381	-3.405861	32.97235976	27.52965	26.966	33.55	28.3
315	315_4	924	-2.555497	-0.827813	34.08807025	24.94878	15.406	26.95	25.7
315	315_4	929	2.105268	0.469377	34.97657408	25.62742	16.949	35.4	27.1
5	5_1	1205	1.681994	-3.181517	28.515018	24.11458	26.698	29.1	24
5	5_1	1203	1.404813	2.969202	30.01495	28.07046	16.104	30.8	27.5
5	5_1	1209	-4.704262	2.036241	30.72142	24.15064	35.058	31.1	24.5
5	5_1	1207	0.261801	-7.242593	31.993324	24.37009	26.994	31	24.8
5	5_1	1208	-4.591248	-0.532924	32.029308	26.14185	21.716	34.5	27.1
5	5_1	1206	-2.520089	-5.243019	32.753905	25.87158	21.015	32.7	25.9
5	5_1	1204	5.143253	1.96393	33.805763	26.89991	16.549	36.2	26.6
5	5_1	1202	0.352774	4.775624	39.345764	27.36346	27.154	40.7	28.3
5	5_1	1201	-2.456894	9.755503	45.142264	27.5001	41.58	46.3	28.2
5	5_2	1212	2.320501	-5.040106	19.197301	20.40766	14.019	19.8	21.2
5	5_2	1213	-0.309316	-3.748356	20.614748	21.25444	13.216	21.4	21.5
5	5_2	1210	5.200001	-2.324438	24.147754	23.32208	10.128	25	23.9
5	5_2	1217	1.743875	6.535879	24.286631	23.30629	13.371	25.7	24.4
5	5_2	1211	5.812653	-5.030712	26.59999	25.68433	18.251	28.2	26.7
5	5_2	1216	-3.646271	2.573794	26.86503	24.62302	13.422	28.7	25.5
5	5_2	1214	-3.935815	-2.607074	27.506127	25.10863	13.202	28.8	25.6
5	5_2	1218	1.929017	4.334115	29.308756	21.63194	13.377	30.6	23.8
5	5_2	1215	-3.776634	1.244026	38.039785	24.59716	13.914	39	27.3
5	5_3	1226	2.448522	4.765204	21.7297	22.5569	14.167	22.8	22
5	5_3	1221	-6.231064	-2.800068	25.68085	21.94834	15.063	26.5	23
5	5_3	1220	0.533412	-2.974109	25.922115	23.56408	19.762	27.2	25.6
5	5_3	1224	-1.699313	3.31386	25.956145	20.48628	6.964	27.5	22.9
5	5_3	1225	-0.010408	4.520095	26.776519	21.50731	14.07	27.6	25.5
5	5_3	1223	-4.249611	2.424264	27.295557	24.24825	17.684	29.5	25.4
5	5_3	1219	2.664457	-4.108752	28.180777	24.67047	14.734	29.5	25.1
5	5_3	1222	-3.325774	0.148502	28.930041	23.29572	17.83	30.8	24.5
5	5_4	1229	5.980265	5.991131	24.692013	22.30626	29.879	26	23.6
